stock,invested_amount,days,percentage_change,risk
4,4042.65,83,0.24599,5
5,7722.5,156,0.32607,5
18,4703.64,49,0.06893,3
13,2745.39,57,0.36584,5
10,5917.83,121,0.07377,4
10,6682.4,12,-0.05163,3
3,7472.5,153,0.42636,5
10,997.67,79,-0.10759,4
15,7870.94,30,-0.02769,2
3,4828.11,76,0.11659,4
19,5210.02,160,0.1208,4
11,8880.14,99,0.396,5
8,9293.47,159,0.32089,5
5,1902.7,100,-0.15381,5
2,816.37,151,0.40419,5
5,868.98,45,0.80927,5
10,5666.76,162,-0.17258,5
6,9259.97,179,-0.11448,4
12,4677.06,121,-0.15267,5
3,4674.3,60,0.13263,4
1,7705.08,172,0.0921,4
18,701.08,43,0.06248,3
11,9657.71,162,-0.18296,5
13,2486.62,9,0.01185,2
1,2695.52,151,0.0267,2
17,4267.81,18,0.08532,4
8,6491.11,142,0.17635,5
6,3168.77,58,-0.17289,5
9,9837.25,33,0.15157,5
6,4478.45,177,0.52844,5
16,9095.01,20,-0.03782,3
12,7206.46,113,-0.02068,2
15,5279.29,128,-0.00329,1
16,6067.38,46,0.02549,2
1,2724.7,89,0.45699,5
14,6975.07,156,0.06525,3
16,1924.37,124,0.14087,4
15,7522.6,158,0.23846,5
3,7255.95,173,-0.58347,5
10,5815.01,122,-0.23909,5
9,7241.27,148,0.22027,5
12,2798.51,121,-0.09963,4
3,7112.87,118,0.22355,5
12,1261.07,83,0.14888,4
9,1827.25,28,0.10724,4
2,7423.98,98,0.12515,4
5,9493.57,39,0.11291,4
9,2587.34,14,0.05333,3
9,2384.89,142,-0.42812,5
10,5859.25,51,-0.33264,5
1,4775.36,41,-0.07783,4
2,7350.73,51,0.17257,5
13,4499.24,65,0.24636,5
5,9489.31,84,0.07613,4
1,4859.84,92,0.12876,4
7,8891.17,85,-0.29242,5
19,9659.41,71,-0.13369,4
1,4854.58,145,0.66398,5
10,6910.99,145,0.91008,5
1,7598.29,20,0.18355,5
1,5475.25,51,-0.31255,5
5,9165.37,61,-0.54478,5
11,8434.34,168,0.20697,5
4,1600.34,143,0.01692,2
20,9690.15,117,0.08379,4
13,7315.0,47,-0.16477,5
7,9258.17,154,0.62156,5
6,6447.51,147,0.32976,5
4,1802.42,63,0.24019,5
19,2535.46,7,0.10306,4
10,8164.07,102,0.56033,5
20,6010.49,72,-0.10477,4
19,3777.88,178,0.13708,4
20,1358.15,156,0.16047,5
12,2619.46,77,0.26033,5
20,9986.31,146,0.16647,5
18,7938.49,105,0.23245,5
20,2649.47,177,-0.08663,4
14,7637.22,145,-0.15188,5
1,1125.81,89,0.32656,5
6,7312.83,29,0.65652,5
14,9818.48,126,0.05591,3
8,9162.9,180,0.038,3
1,1139.31,57,-0.29268,5
19,8422.82,131,0.29082,5
10,1530.71,167,-1.20753,5
2,1278.81,143,0.20333,5
6,3665.12,13,0.03159,3
1,5939.72,159,-0.14145,4
19,9516.46,140,0.35698,5
5,2050.76,115,0.0037,1
8,7876.92,60,0.17811,5
1,4556.11,100,-0.50432,5
3,7886.89,120,-0.03668,3
18,9394.34,129,0.12122,4
14,1911.32,110,0.05245,3
3,4388.78,170,-0.10111,4
19,7851.41,16,-0.13857,4
11,2595.74,6,0.07867,4
12,4367.42,72,0.24282,5
5,7225.87,135,0.59456,5
11,1574.87,155,0.15175,5
11,3211.33,12,-0.12103,4
18,8770.03,44,-0.07763,4
14,9814.78,56,0.07778,4
11,7794.63,119,-0.13886,4
19,7525.95,71,0.15697,5
12,9480.95,144,0.14496,4
18,3260.58,74,0.13667,4
8,902.89,104,0.0141,2
4,747.86,69,0.36055,5
6,1365.09,98,-1.09917,5
2,1571.17,83,-0.241,5
6,6253.59,138,-0.18127,5
2,9500.78,141,-0.08884,4
3,8031.77,160,0.4857,5
6,2726.31,67,-0.33521,5
18,8149.24,125,0.11421,4
4,7326.65,178,0.37929,5
4,2120.54,56,0.21571,5
9,4464.82,156,0.58248,5
18,3903.69,34,0.01933,2
5,1683.22,152,1.2022,5
8,8625.15,62,-0.0913,4
4,3557.13,71,0.47358,5
10,968.91,79,0.70578,5
14,2747.31,18,0.0762,4
9,7698.04,27,-0.29431,5
9,9808.9,167,0.60374,5
7,5494.21,54,-0.46015,5
2,5725.93,28,-0.04859,3
4,6121.75,5,-0.06365,3
9,8228.75,144,0.62176,5
19,4065.0,174,0.04216,3
5,3130.62,23,0.03599,3
19,9221.74,39,0.06858,3
6,3538.64,6,-0.02055,2
17,8777.98,19,-0.00467,1
14,3765.14,180,0.21097,5
6,8239.04,161,0.35309,5
4,5509.91,60,0.35134,5
20,4614.29,141,0.28909,5
19,2682.73,9,0.02179,2
18,890.01,148,0.18266,5
11,6457.37,73,0.19792,5
18,4355.59,10,0.0462,3
10,1031.12,32,0.21944,5
9,2513.92,67,0.18748,5
20,5759.01,27,-0.00116,1
6,5881.9,142,0.28806,5
11,5271.6,64,-0.2125,5
4,2872.48,90,-0.29704,5
8,2262.84,176,0.38237,5
14,2326.43,119,-0.10483,4
17,7890.38,105,-0.27975,5
3,5936.73,138,-0.43598,5
15,522.11,122,0.03292,3
4,5244.7,70,0.52166,5
17,3804.36,73,0.08288,4
18,8570.16,70,0.26217,5
14,1732.73,38,0.05575,3
4,586.77,111,0.04883,3
1,6943.34,113,0.12895,4
13,3175.26,49,-0.20724,5
19,2601.36,108,0.21434,5
3,1038.49,157,0.46232,5
10,4672.37,159,0.5562,5
20,6103.1,128,0.42454,5
2,502.46,178,0.26968,5
5,6108.23,9,0.31925,5
7,6149.89,100,-0.62608,5
8,1045.17,11,-0.01615,2
14,5438.3,148,0.06193,3
1,2747.53,32,-0.25757,5
1,6832.31,69,0.03853,3
8,9481.35,81,0.21621,5
10,7615.11,131,-0.63951,5
5,9999.18,52,0.18216,5
1,1634.01,12,0.07777,4
2,9361.6,97,0.06234,3
1,8048.53,8,0.05643,3
12,5553.35,147,-0.28855,5
12,5974.59,122,-0.07156,4
9,6222.19,89,-0.22959,5
5,4478.73,92,0.25575,5
4,5653.81,66,-0.19042,5
6,5088.18,180,0.56176,5
8,6676.21,61,0.24138,5
14,8709.4,34,0.15563,5
12,3239.77,120,0.01703,2
2,1548.83,150,0.16938,5
19,3514.69,49,-0.11833,4
11,9441.07,51,0.25191,5
14,9113.04,20,-0.09442,4
14,2538.45,118,0.07515,4
17,1774.33,121,-0.26019,5
3,7379.35,163,0.4987,5
9,7881.61,5,0.08889,4
2,2899.6,139,0.42702,5
2,9295.27,64,0.05407,3
1,4161.89,122,0.11925,4
12,6231.36,50,0.29787,5
4,7317.83,164,-0.34931,5
2,7631.16,91,0.2334,5
10,682.2,28,-0.06757,3
2,1319.22,120,0.01622,2
7,7752.64,129,0.12601,4
1,6012.94,24,-0.18877,5
14,5005.91,102,0.01586,2
1,1481.36,10,0.11305,4
19,1013.11,172,0.45832,5
10,3881.75,93,0.72857,5
4,9787.49,101,0.50166,5
3,5213.29,120,-0.06617,3
10,9385.28,40,-0.11739,4
8,2483.09,61,-0.04058,3
14,4913.23,90,0.11148,4
17,1565.21,37,0.08662,4
14,1464.8,40,0.10934,4
13,4374.23,108,0.04545,3
19,6552.31,155,-0.05662,3
14,1784.96,47,-0.11098,4
15,1580.66,120,0.19217,5
1,4085.25,60,0.00867,1
3,2919.2,37,0.00558,1
19,1086.46,132,-0.21739,5
3,4931.1,175,0.28621,5
19,8797.21,168,-0.34311,5
16,776.69,23,0.00469,1
20,4520.16,178,0.09674,4
3,1126.71,172,0.41886,5
6,6024.35,81,0.04487,3
4,5339.05,48,-0.39452,5
10,4882.51,118,1.12889,5
3,3117.41,130,0.16131,5
13,7530.79,30,-0.05714,3
12,5232.19,140,-0.23718,5
15,8122.05,10,0.00123,1
4,2876.03,117,0.10556,4
10,2047.94,156,-0.42165,5
1,8554.78,105,-0.21136,5
12,7593.19,76,0.00682,1
16,1664.16,120,-0.05207,3
5,4685.81,79,0.84068,5
16,6843.88,52,0.01832,2
14,2151.32,59,0.23493,5
13,3823.56,48,0.09144,4
17,5511.28,114,0.17389,5
1,4431.37,179,0.40531,5
13,8143.73,14,0.05612,3
9,6937.7,118,0.14277,4
6,7076.94,100,-0.65175,5
6,5412.73,156,0.16537,5
1,4135.85,97,0.81469,5
6,3842.78,151,0.41877,5
11,1273.66,60,0.27084,5
6,4942.33,126,-0.67547,5
1,4705.79,40,0.24509,5
17,702.5,60,-0.00987,1
11,3061.43,156,0.82426,5
2,6608.74,130,0.45764,5
19,6704.62,61,0.15909,5
5,9306.59,115,1.44313,5
8,1735.47,131,0.35043,5
15,9026.47,12,0.02321,2
18,7409.34,118,-0.02937,2
6,4045.41,88,-0.10759,4
8,3258.28,146,-0.09121,4
2,9278.8,125,0.32584,5
18,5742.15,36,0.04876,3
19,2226.43,103,0.21845,5
18,751.2,164,0.1238,4
4,9041.18,85,0.2172,5
11,7649.94,53,0.22316,5
9,5257.82,138,-0.29619,5
15,708.25,163,0.31616,5
3,5751.7,89,0.10914,4
19,8955.04,22,0.07865,4
9,9274.87,153,0.6936,5
7,8343.92,76,0.47514,5
12,9566.28,143,0.11279,4
4,1612.7,23,0.14073,4
2,1068.45,113,0.36253,5
17,5586.3,173,0.20128,5
20,7929.63,98,-0.11428,4
2,6730.4,50,0.03236,3
2,6528.49,13,0.01224,2
10,7550.04,120,0.98515,5
1,7609.39,112,-0.5951,5
3,4768.51,53,-0.22738,5
20,9993.45,128,0.00082,1
5,3733.56,150,-0.04042,3
20,8365.13,110,0.26467,5
12,2090.91,31,-0.01333,2
16,1087.83,104,0.10903,4
11,2190.04,57,0.20024,5
4,2699.14,44,0.04089,3
15,3659.92,22,0.03266,3
4,4166.98,59,0.45832,5
8,8555.52,145,0.25759,5
14,1887.98,180,0.30541,5
16,7373.38,135,0.40842,5
16,2309.64,169,0.22421,5
11,8226.25,178,-0.41943,5
5,8669.57,78,0.16043,5
20,3461.86,95,0.08733,4
20,9325.01,50,-0.22595,5
6,8372.24,54,-0.36323,5
9,6661.46,50,0.35555,5
5,4203.83,169,0.88289,5
8,7155.15,50,-0.02636,2
18,1294.37,112,0.18198,5
5,2800.99,43,-0.01096,2
20,5072.19,40,-0.12266,4
3,8064.88,132,0.07786,4
11,9536.44,152,0.30587,5
20,3343.19,167,0.18983,5
13,5490.12,160,-0.62157,5
9,5274.66,142,0.62271,5
6,1430.87,137,0.48073,5
1,6596.38,66,0.30414,5
10,8228.43,109,0.33316,5
10,6051.7,15,0.44896,5
20,8764.79,136,0.01505,2
14,9965.02,169,0.11791,4
2,526.46,79,-0.06328,3
3,8966.11,89,0.37827,5
16,5412.14,81,0.10193,4
17,4110.41,154,0.04864,3
5,3162.85,56,0.15245,5
14,8368.34,34,0.26069,5
10,8093.29,105,-0.18066,5
8,7653.2,69,-0.16359,5
15,641.61,11,0.03135,3
7,3500.58,59,-0.35604,5
7,7588.47,164,-0.40191,5
7,651.23,119,0.13279,4
7,4579.62,40,0.3844,5
20,9211.65,42,0.07938,4
20,4470.59,31,0.30399,5
3,4134.52,73,-0.14369,4
13,8640.61,100,0.7101,5
9,2030.98,53,0.20762,5
11,2401.09,141,-0.03953,3
16,6585.27,87,0.05197,3
6,3258.95,175,-0.10249,4
17,6833.4,32,0.13619,4
3,7820.83,170,0.44341,5
18,9700.04,53,0.03914,3
10,9503.21,66,-0.67642,5
20,6320.6,148,-0.06079,3
4,7909.22,46,-0.14438,4
3,3115.63,42,0.33288,5
1,7415.62,89,0.98193,5
10,9233.89,124,-1.32357,5
2,9181.9,103,0.05795,3
18,6673.79,44,0.06857,3
11,8320.73,97,-0.07704,4
12,3049.87,21,0.03898,3
15,9678.88,72,0.0445,3
20,4144.69,30,0.18483,5
13,6783.51,27,0.02377,2
3,1037.84,20,0.15595,5
6,4789.58,158,-0.37812,5
16,9991.14,48,-0.04233,3
15,4892.98,25,0.00566,1
5,3524.44,89,0.07513,4
3,8631.64,135,0.13863,4
4,3663.08,32,0.06388,3
17,2683.02,99,0.00823,1
4,2966.57,46,-0.04508,3
7,2790.87,47,0.05028,3
16,2513.42,87,0.06601,3
9,3817.76,172,0.01046,2
16,7109.74,17,0.00042,1
12,9167.96,143,0.34729,5
3,9773.27,54,0.0741,4
2,7208.0,38,0.03307,3
10,6706.48,110,0.55793,5
16,1925.01,135,0.20515,5
6,6110.14,74,-0.09387,4
1,2653.75,161,0.65559,5
12,9502.57,32,0.2365,5
